loc_id,currency_code,start_date,end_date,is_official,notes
ABW,AWG,1986-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
AFG,AFN,1955-01-31,2021-05-31,True,Generated from IMF monthly USD exchange-rate continuity
AGO,AOA,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
AIA,XCD,1957-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
ALB,ALL,1992-01-31,2025-11-30,True,Generated from IMF monthly USD exchange-rate continuity
AND,EUR,2020-10-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
ANT,NLG,1957-01-31,2010-09-30,True,Generated from IMF monthly USD exchange-rate continuity
ARE,AED,1966-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
ARG,ARS,1959-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
ARM,AMD,1992-04-30,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
ATG,XCD,1957-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
AUS,AUD,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
AUT,ATS,1957-01-31,1998-12-31,True,Generated from IMF monthly USD exchange-rate continuity
AZE,AZN,1992-12-31,2025-12-31,True,Generated from IMF monthly USD exchange-rate continuity
BDI,BIF,1957-01-31,2025-06-30,True,Generated from IMF monthly USD exchange-rate continuity
BEL,BEF,1957-01-31,1998-12-31,True,Generated from IMF monthly USD exchange-rate continuity
BEN,XOF,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
BFA,XOF,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
BGD,BDT,1972-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
BGR,EUR,1957-01-31,1975-01-31,True,Generated from IMF monthly USD exchange-rate continuity
BGR,EUR,1988-12-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
BHR,BHD,1966-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
BHS,BSD,1940-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
BIH,BAM,1997-01-31,2025-09-30,True,Generated from IMF monthly USD exchange-rate continuity
BLR,BYN,1992-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
BLZ,BZD,1957-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
BMU,BMD,1940-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
BOL,BOB,1959-03-31,2025-12-31,True,Generated from IMF monthly USD exchange-rate continuity
BRA,BRL,1964-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
BRB,BBD,1957-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
BRN,BND,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
BTN,BTN,1957-01-31,2025-12-31,True,Generated from IMF monthly USD exchange-rate continuity
BWA,BWP,1957-01-31,2026-02-28,True,Generated from IMF monthly USD exchange-rate continuity
CAF,XAF,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
CAN,CAD,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
CHE,CHF,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
CHL,CLP,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
CHN,CNY,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
CIV,XOF,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
CMR,XAF,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
COD,CDF,1957-01-31,2024-08-31,True,Generated from IMF monthly USD exchange-rate continuity
COD,CDF,2024-12-31,2025-11-30,True,Generated from IMF monthly USD exchange-rate continuity
COG,XAF,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
COL,COP,1957-01-31,2025-12-31,True,Generated from IMF monthly USD exchange-rate continuity
COM,KMF,1957-01-31,2026-01-31,True,Generated from IMF monthly USD exchange-rate continuity
CPV,CVE,1957-01-31,2025-12-31,True,Generated from IMF monthly USD exchange-rate continuity
